                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3615,                 3.3754,                 1.1096,                0.23795,                0.59681,                0.34324,                0.13216,                 2.0141,                 5.7897,                 1.0115,              9.996e-05,              9.996e-05,              9.996e-05
                      2,                 1.7417,                 1.4954,                0.94826,                0.73935,                 0.8015,                0.80211,                0.36374,                  1.652,                 1.4613,                0.96698,             0.00020148,             0.00020148,             0.00020148
                      3,                 1.6682,                 1.0454,                0.93284,                0.83969,                0.91197,                0.93435,                0.45247,                 1.5261,                 1.1159,                0.93504,             0.00030094,             0.00030094,             0.00030094
                      4,                 1.6305,                0.90624,                0.93453,                0.88175,                0.89728,                0.90666,                0.43913,                 1.5476,                0.86395,                0.94285,              0.0003464,              0.0003464,              0.0003464
                      5,                  1.591,                0.79407,                0.91809,                0.95482,                0.95548,                0.95798,                0.45143,                  1.567,                0.76978,                0.93989,              0.0003464,              0.0003464,              0.0003464
                      6,                 1.5799,                0.76412,                0.91665,                0.95257,                0.95657,                0.95593,                0.48119,                 1.5057,                0.71991,                0.92517,             0.00034286,             0.00034286,             0.00034286
                      7,                 1.5945,                0.74389,                0.91146,                0.96487,                0.96334,                0.96277,                0.48493,                 1.5288,                0.70058,                 0.9238,             0.00033933,             0.00033933,             0.00033933
                      8,                 1.5755,                0.72307,                0.91462,                0.96396,                0.96365,                0.96002,                0.48081,                 1.4918,                0.70624,                0.91735,             0.00033579,             0.00033579,             0.00033579
                      9,                 1.5609,                0.72223,                0.90803,                0.95399,                0.95059,                0.94876,                0.47748,                 1.5184,                0.68451,                0.92063,             0.00033226,             0.00033226,             0.00033226
                     10,                 1.5084,                0.68628,                0.90093,                0.96985,                0.96475,                0.97039,                0.49573,                 1.4682,                0.66321,                0.91704,             0.00032873,             0.00032873,             0.00032873
                     11,                 1.5043,                0.67794,                0.89469,                0.96741,                0.96697,                0.96522,                0.49435,                 1.4571,                0.67072,                0.91818,             0.00032519,             0.00032519,             0.00032519
                     12,                 1.4844,                0.66409,                0.89694,                0.96248,                0.95609,                0.95586,                0.47523,                  1.521,                0.66268,                 0.9241,             0.00032166,             0.00032166,             0.00032166
                     13,                 1.5048,                0.68797,                0.90333,                0.94446,                0.96271,                0.96535,                 0.4876,                 1.5211,                0.69116,                0.92537,             0.00031812,             0.00031812,             0.00031812
                     14,                 1.4683,                0.66306,                0.89066,                0.96237,                0.96463,                0.96606,                0.49832,                 1.4879,                0.64499,                0.92142,             0.00031459,             0.00031459,             0.00031459
                     15,                 1.4823,                0.65568,                0.88989,                 0.9664,                0.97033,                0.96931,                0.49588,                 1.4642,                0.64425,                0.92033,             0.00031105,             0.00031105,             0.00031105
                     16,                 1.4685,                0.64761,                0.89004,                0.97653,                0.98132,                0.97882,                0.50421,                 1.4633,                0.62123,                0.92346,             0.00030752,             0.00030752,             0.00030752
                     17,                 1.4386,                0.62084,                0.88883,                0.97307,                0.97183,                0.97477,                0.51164,                 1.4331,                0.61589,                0.91732,             0.00030399,             0.00030399,             0.00030399
                     18,                  1.429,                 0.6226,                0.88697,                0.96686,                0.97052,                0.97413,                0.50916,                 1.4553,                0.62931,                0.91741,             0.00030045,             0.00030045,             0.00030045
                     19,                   1.42,                0.61862,                0.88373,                0.95592,                 0.9581,                 0.9499,                0.49006,                 1.4687,                0.64581,                0.92769,             0.00029692,             0.00029692,             0.00029692
                     20,                 1.4298,                0.62435,                0.88103,                0.95449,                0.95882,                0.95492,                 0.4928,                 1.4853,                0.66141,                0.92351,             0.00029338,             0.00029338,             0.00029338
                     21,                 1.4501,                0.62921,                0.88653,                0.93973,                0.94186,                0.93797,                0.43919,                 1.6288,                 0.6721,                0.93137,             0.00028985,             0.00028985,             0.00028985
                     22,                 1.4701,                0.64093,                0.88845,                0.96874,                0.96914,                0.97325,                0.51749,                 1.4299,                0.63182,                0.91078,             0.00028631,             0.00028631,             0.00028631
                     23,                 1.3866,                0.60639,                0.87954,                0.97218,                0.97655,                0.97205,                0.51727,                 1.4177,                 0.6129,                0.90818,             0.00028278,             0.00028278,             0.00028278
                     24,                 1.3683,                0.58752,                 0.8756,                  0.968,                 0.9656,                0.96581,                0.51319,                 1.4471,                0.61879,                0.91385,             0.00027925,             0.00027925,             0.00027925
                     25,                 1.3506,                 0.5934,                 0.8753,                0.96732,                0.97294,                0.97455,                0.51551,                 1.4544,                0.63539,                0.91416,             0.00027571,             0.00027571,             0.00027571
                     26,                 1.3771,                 0.5949,                0.88131,                0.97027,                0.96984,                0.96833,                0.51997,                 1.4216,                  0.592,                0.90791,             0.00027218,             0.00027218,             0.00027218
                     27,                 1.3488,                 0.5874,                0.87521,                0.97744,                0.97762,                0.97571,                0.52323,                 1.4368,                0.59986,                0.90832,             0.00026864,             0.00026864,             0.00026864
                     28,                 1.3207,                 0.5678,                0.87136,                0.96905,                0.96918,                0.97533,                0.53028,                 1.4628,                0.59875,                0.91346,             0.00026511,             0.00026511,             0.00026511
                     29,                 1.3168,                0.56862,                0.87029,                0.96597,                0.97042,                 0.9679,                0.54385,                 1.3909,                0.58787,                0.90051,             0.00026157,             0.00026157,             0.00026157
                     30,                 1.3104,                0.56248,                0.86344,                0.96342,                0.96713,                0.96316,                0.54345,                  1.375,                0.57143,                0.89959,             0.00025804,             0.00025804,             0.00025804
                     31,                 1.3169,                0.56662,                0.86517,                0.97814,                0.97781,                0.97523,                0.56346,                 1.3639,                0.57219,                0.90154,             0.00025451,             0.00025451,             0.00025451
                     32,                 1.3416,                  0.577,                0.87168,                0.96476,                0.96742,                0.96274,                0.54816,                 1.3681,                0.57599,                0.89767,             0.00025097,             0.00025097,             0.00025097
                     33,                 1.2583,                0.55476,                0.86453,                0.97666,                0.97546,                0.97637,                0.55788,                 1.3566,                0.56278,                0.89543,             0.00024744,             0.00024744,             0.00024744
                     34,                 1.2532,                0.54366,                0.86218,                0.96789,                0.96674,                0.96444,                0.54611,                 1.3897,                 0.5739,                 0.9003,              0.0002439,              0.0002439,              0.0002439
                     35,                 1.2614,                0.54574,                0.85893,                0.97778,                0.97846,                0.98269,                0.58052,                 1.3056,                0.55579,                0.89729,             0.00024037,             0.00024037,             0.00024037
                     36,                 1.2948,                0.56374,                0.86405,                0.97351,                0.97937,                0.97912,                0.56205,                 1.3364,                0.56838,                0.89813,             0.00023683,             0.00023683,             0.00023683
                     37,                 1.2563,                0.54772,                0.85483,                0.96577,                0.96712,                0.97099,                0.53416,                 1.3868,                0.57007,                0.90332,              0.0002333,              0.0002333,              0.0002333
                     38,                  1.231,                0.53309,                0.85713,                0.96954,                0.97472,                0.97411,                0.56425,                 1.3416,                0.54672,                0.89706,             0.00022977,             0.00022977,             0.00022977
                     39,                 1.2307,                 0.5264,                0.85455,                0.96828,                 0.9703,                0.97667,                0.55552,                 1.3865,                0.55419,                0.89589,             0.00022623,             0.00022623,             0.00022623
                     40,                 1.1957,                0.52194,                0.85349,                0.96859,                0.97175,                0.97233,                0.57069,                 1.3262,                0.53577,                0.89721,              0.0002227,              0.0002227,              0.0002227
                     41,                 1.1985,                0.51593,                0.84979,                0.97959,                0.97995,                0.97974,                0.57926,                 1.3356,                0.53262,                0.88668,             0.00021916,             0.00021916,             0.00021916
                     42,                 1.1853,                0.50806,                0.84952,                 0.9779,                0.97938,                0.97981,                 0.5837,                 1.2845,                0.51257,                0.88985,             0.00021563,             0.00021563,             0.00021563
                     43,                 1.2184,                0.51576,                0.85128,                0.96357,                 0.9693,                0.96726,                0.56901,                 1.3601,                0.55228,                0.89657,             0.00021209,             0.00021209,             0.00021209
                     44,                 1.1995,                0.51011,                0.85154,                0.96664,                0.96807,                0.96703,                0.55955,                 1.3288,                 0.5331,                0.88868,             0.00020856,             0.00020856,             0.00020856
                     45,                 1.1947,                0.50638,                0.84583,                0.97874,                0.98269,                0.98093,                0.58933,                 1.2974,                0.53435,                0.88681,             0.00020503,             0.00020503,             0.00020503
                     46,                  1.158,                0.49703,                0.84078,                0.98212,                 0.9834,                0.98099,                0.60333,                 1.2549,                0.51323,                0.88172,             0.00020149,             0.00020149,             0.00020149
                     47,                 1.1364,                0.48738,                0.84359,                0.97847,                0.98091,                0.98222,                0.60496,                  1.276,                0.51058,                0.88643,             0.00019796,             0.00019796,             0.00019796
                     48,                 1.1375,                0.48967,                0.84278,                0.97385,                0.98059,                 0.9811,                0.57415,                 1.3478,                0.51684,                0.89297,             0.00019442,             0.00019442,             0.00019442
                     49,                 1.1161,                0.48294,                0.83574,                0.97806,                0.98162,                0.98151,                0.61444,                 1.2217,                0.49139,                0.88014,             0.00019089,             0.00019089,             0.00019089
                     50,                 1.0909,                0.47696,                0.83807,                0.98539,                0.98438,                0.98443,                0.62599,                 1.2103,                0.50014,                0.87743,             0.00018735,             0.00018735,             0.00018735
                     51,                 1.0842,                0.47267,                 0.8335,                0.97913,                0.98366,                0.98166,                0.60763,                 1.2563,                0.50684,                0.88297,             0.00018382,             0.00018382,             0.00018382
                     52,                  1.071,                0.46903,                  0.832,                0.97975,                 0.9802,                0.98041,                 0.6246,                 1.2048,                0.48036,                0.87431,             0.00018028,             0.00018028,             0.00018028
                     53,                 1.0572,                0.46333,                0.83047,                0.97724,                0.98137,                0.98135,                 0.6184,                 1.1931,                0.47984,                 0.8748,             0.00017675,             0.00017675,             0.00017675
                     54,                 1.0557,                0.45978,                0.83782,                0.97611,                0.97699,                0.97405,                0.60571,                 1.2278,                0.48286,                0.87788,             0.00017322,             0.00017322,             0.00017322
                     55,                 1.0425,                0.45239,                0.83045,                0.98102,                0.98199,                0.97982,                0.62386,                 1.1924,                0.46803,                0.87686,             0.00016968,             0.00016968,             0.00016968
                     56,                 1.0438,                 0.4547,                0.83245,                0.98124,                0.98715,                0.98435,                0.63493,                 1.1422,                0.46446,                0.86359,             0.00016615,             0.00016615,             0.00016615
                     57,                 1.0159,                0.44681,                0.82757,                0.98002,                0.98275,                0.98328,                 0.6334,                 1.1713,                0.47298,                0.86869,             0.00016261,             0.00016261,             0.00016261
                     58,                 1.0009,                0.43839,                0.82263,                0.98061,                0.97975,                0.98134,                0.63445,                 1.1501,                0.46958,                0.87183,             0.00015908,             0.00015908,             0.00015908
                     59,                0.97479,                  0.429,                0.82099,                0.97563,                0.97646,                0.97804,                0.62953,                 1.1638,                0.45985,                0.87405,             0.00015554,             0.00015554,             0.00015554
                     60,                0.99813,                0.43711,                0.82422,                0.98461,                0.98439,                0.98591,                0.63721,                 1.1773,                 0.4786,                0.87752,             0.00015201,             0.00015201,             0.00015201
                     61,                0.99633,                0.43633,                0.82639,                0.98174,                 0.9841,                0.98475,                0.64326,                   1.14,                0.46365,                0.87111,             0.00014848,             0.00014848,             0.00014848
                     62,                0.98658,                0.42983,                 0.8273,                0.98591,                0.98811,                 0.9876,                  0.629,                 1.1744,                0.46148,                0.87682,             0.00014494,             0.00014494,             0.00014494
                     63,                0.99309,                0.43488,                0.83081,                0.98231,                0.98071,                0.98236,                0.64111,                 1.1426,                0.45499,                0.87222,             0.00014141,             0.00014141,             0.00014141
                     64,                0.97346,                0.42518,                0.82185,                0.98239,                0.98025,                0.98012,                0.62645,                 1.1468,                0.45218,                0.87088,             0.00013787,             0.00013787,             0.00013787
                     65,                0.95641,                0.41906,                0.81953,                0.98479,                0.98599,                0.98572,                0.63795,                 1.1469,                0.45657,                0.87131,             0.00013434,             0.00013434,             0.00013434
                     66,                0.96939,                0.42423,                0.82218,                0.98497,                0.98682,                0.98701,                0.64912,                 1.1275,                0.45695,                0.86987,              0.0001308,              0.0001308,              0.0001308
                     67,                0.92526,                0.40986,                0.81769,                0.98617,                0.98356,                0.98622,                0.66299,                 1.0701,                0.43378,                 0.8636,             0.00012727,             0.00012727,             0.00012727
                     68,                  0.934,                0.40831,                0.82137,                0.98752,                0.98521,                0.98741,                0.65383,                 1.1136,                0.43842,                0.87018,             0.00012374,             0.00012374,             0.00012374
                     69,                 0.9153,                0.40412,                 0.8217,                0.98544,                0.98675,                0.98831,                0.65695,                 1.0999,                0.43533,                 0.8658,              0.0001202,              0.0001202,              0.0001202
                     70,                0.88977,                0.39489,                0.81516,                0.98185,                0.98695,                 0.9866,                0.65759,                 1.0705,                0.43001,                0.86183,             0.00011667,             0.00011667,             0.00011667
                     71,                0.89696,                0.40042,                0.81774,                 0.9849,                0.98711,                0.98699,                0.64822,                 1.1129,                 0.4432,                0.86795,             0.00011313,             0.00011313,             0.00011313
                     72,                0.87301,                0.39227,                0.81302,                0.98285,                0.98466,                0.98711,                0.65494,                 1.1093,                0.44454,                 0.8644,              0.0001096,              0.0001096,              0.0001096
                     73,                0.87299,                0.39125,                0.81431,                0.98265,                0.98428,                0.98616,                 0.6588,                 1.0894,                0.43872,                0.86408,             0.00010606,             0.00010606,             0.00010606
                     74,                0.86877,                0.39038,                0.81054,                0.98341,                0.98553,                0.98694,                0.66833,                 1.0575,                0.42594,                0.86023,             0.00010253,             0.00010253,             0.00010253
                     75,                 0.8406,                0.38029,                0.81001,                0.98028,                0.98187,                0.98373,                0.66151,                 1.0757,                0.43328,                0.86334,             9.8996e-05,             9.8996e-05,             9.8996e-05
                     76,                0.84999,                 0.3844,                0.81411,                0.98448,                0.98505,                0.98726,                0.66792,                 1.0638,                0.42976,                0.86187,             9.5462e-05,             9.5462e-05,             9.5462e-05
                     77,                 0.8477,                0.38451,                0.81083,                0.98554,                 0.9866,                0.98722,                0.67241,                  1.044,                 0.4196,                0.85871,             9.1927e-05,             9.1927e-05,             9.1927e-05
                     78,                0.83565,                0.37766,                0.81066,                0.98492,                0.98415,                0.98827,                0.67348,                 1.0397,                0.42334,                0.85627,             8.8393e-05,             8.8393e-05,             8.8393e-05
                     79,                0.82977,                0.37797,                0.81017,                0.98129,                0.98147,                 0.9847,                0.68012,                 1.0267,                0.41655,                0.85665,             8.4859e-05,             8.4859e-05,             8.4859e-05
                     80,                0.81641,                0.37364,                 0.8131,                0.98131,                0.98488,                0.98566,                0.68418,                 1.0174,                0.41385,                0.85645,             8.1325e-05,             8.1325e-05,             8.1325e-05
                     81,                0.82386,                0.37324,                0.80994,                0.98449,                0.98259,                0.98707,                0.68324,                 1.0155,                0.41273,                  0.857,              7.779e-05,              7.779e-05,              7.779e-05
                     82,                0.78147,                 0.3621,                0.80881,                0.98537,                0.98832,                0.98801,                 0.6865,                 1.0131,                0.41339,                0.85573,             7.4256e-05,             7.4256e-05,             7.4256e-05
                     83,                0.79906,                0.36525,                0.80754,                0.98587,                0.98366,                 0.9875,                0.68152,                 1.0255,                0.41759,                0.85728,             7.0722e-05,             7.0722e-05,             7.0722e-05
                     84,                 0.7916,                0.36269,                0.80534,                0.98206,                0.98595,                0.98626,                 0.6794,                 1.0208,                0.41161,                0.85668,             6.7187e-05,             6.7187e-05,             6.7187e-05
                     85,                 0.7897,                0.36297,                0.81013,                0.97947,                0.98488,                0.98451,                0.68046,                 1.0305,                0.41443,                 0.8575,             6.3653e-05,             6.3653e-05,             6.3653e-05
                     86,                 0.7568,                 0.3532,                0.80751,                0.98441,                0.98744,                0.98805,                0.69243,                0.98101,                0.40259,                0.85372,             6.0119e-05,             6.0119e-05,             6.0119e-05
                     87,                0.76341,                0.35418,                0.80364,                0.98523,                0.98676,                0.98786,                0.69314,                0.98357,                0.40107,                0.85387,             5.6585e-05,             5.6585e-05,             5.6585e-05
                     88,                0.75991,                0.35439,                0.80306,                0.98791,                0.98709,                0.98767,                0.69395,                0.98019,                0.40374,                 0.8539,              5.305e-05,              5.305e-05,              5.305e-05
                     89,                0.75044,                0.35023,                0.80328,                0.98639,                0.98564,                0.98715,                0.69216,                0.98658,                0.40284,                0.85529,             4.9516e-05,             4.9516e-05,             4.9516e-05
                     90,                 0.7448,                0.34504,                0.80295,                0.98127,                0.98519,                0.98348,                0.68704,                0.99166,                0.40193,                0.85646,             4.5982e-05,             4.5982e-05,             4.5982e-05
                     91,                0.72747,                0.34852,                0.80461,                0.98048,                0.98043,                0.98365,                0.68595,                0.99185,                0.40127,                 0.8577,             4.2447e-05,             4.2447e-05,             4.2447e-05
                     92,                 0.6867,                0.33337,                0.80054,                0.98655,                0.98173,                0.98613,                0.69264,                0.97504,                0.40539,                 0.8554,             3.8913e-05,             3.8913e-05,             3.8913e-05
                     93,                0.68447,                0.33248,                0.80118,                0.98528,                0.98236,                0.98664,                0.69694,                0.96483,                    0.4,                0.85473,             3.5379e-05,             3.5379e-05,             3.5379e-05
                     94,                0.67764,                0.32774,                 0.8007,                0.98503,                0.98306,                0.98671,                0.69908,                0.95644,                 0.3949,                0.85351,             3.1844e-05,             3.1844e-05,             3.1844e-05
                     95,                0.66946,                0.32653,                0.79782,                0.98304,                0.98418,                0.98634,                0.69987,                0.95374,                0.39436,                0.85339,              2.831e-05,              2.831e-05,              2.831e-05
                     96,                0.65605,                0.32336,                0.79866,                0.98598,                0.98732,                0.98921,                0.69894,                0.95723,                0.39827,                0.85363,             2.4776e-05,             2.4776e-05,             2.4776e-05
                     97,                0.65937,                0.32229,                0.79955,                0.98734,                0.98349,                0.98879,                0.70163,                0.94088,                0.39388,                0.85264,             2.1242e-05,             2.1242e-05,             2.1242e-05
                     98,                0.64602,                0.31792,                 0.8036,                0.98491,                0.98245,                0.98655,                0.70358,                0.93642,                0.38885,                0.85167,             1.7707e-05,             1.7707e-05,             1.7707e-05
                     99,                0.63422,                0.31355,                0.79712,                0.98575,                0.98496,                0.98748,                0.70338,                 0.9343,                0.38871,                0.85099,             1.4173e-05,             1.4173e-05,             1.4173e-05
                    100,                0.65184,                0.31858,                0.79582,                0.98592,                0.98498,                0.98805,                0.70186,                0.93955,                0.39009,                0.85203,             1.0639e-05,             1.0639e-05,             1.0639e-05
